user_id,subscription_type,user_journey
1516,Annual,Checkout
3395,Annual,Homepage-Pricing-Checkout
10107,Annual,Checkout
11145,Monthly,Homepage-Log in-Homepage-Log in-Checkout
12400,Monthly,Other-Career track certificate-Resources center-Homepage-Instructors-Homepage-Log in-Checkout
13082,Monthly,Checkout-Homepage-Sign up-Log in-Checkout
14415,Monthly,Log in-Checkout
15630,Annual,Homepage-Log in-Checkout
16589,Quarterly,Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Pricing-Sign up-Homepage-Sign up-Checkout
19458,Annual,Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Courses-Coupon
20355,Monthly,Pricing-Courses-Career track certificate-Pricing-Homepage-Log in-Checkout
22679,Annual,Coupon
23292,Annual,Checkout-Log in-Checkout
24414,Annual,Coupon
31705,Annual,Checkout
34689,Monthly,Homepage-Log in-Checkout
34912,Annual,Log in-Checkout
37614,Annual,Coupon
37828,Annual,Homepage-Pricing-Checkout-Pricing-Courses-Log in-Checkout
39452,Annual,Other-Coupon
41200,Annual,Coupon-Checkout
49669,Annual,Coupon-Other-Coupon
60084,Monthly,Other
71559,Annual,Coupon-Pricing-Sign up-Pricing-Checkout
72771,Monthly,Log in-Checkout
74256,Annual,Log in-Other-Homepage-Log in-Checkout
75048,Annual,Courses-Log in-Coupon
82563,Monthly,Courses-Sign up-Checkout
88208,Annual,Checkout
96793,Annual,Homepage-Pricing-Coupon
97516,Annual,Other-Homepage-Courses-Coupon
102461,Annual,Instructors-Pricing-Homepage-Success stories-Pricing-Coupon
105172,Annual,Other-Log in-Coupon
105951,Annual,Coupon-Pricing-Checkout
108970,Annual,Homepage-Pricing-Checkout-Log in-Coupon
110519,Annual,Coupon
120485,Monthly,Pricing-Checkout-Other-Pricing-Career tracks-Checkout
121047,Annual,Log in-Homepage-Pricing-Other-Courses-Sign up-Pricing-Sign up-Log in-Other-Coupon
125167,Annual,Homepage-Log in-Other-Coupon
126202,Annual,Checkout-Coupon
135366,Annual,Homepage-Career tracks-Coupon
142012,Monthly,Homepage-Log in-Other-Log in-Homepage-Log in-Checkout
143885,Annual,Homepage-Career track certificate-Log in-Sign up-Log in-Checkout-Coupon
148246,Annual,Log in-Coupon
150335,Annual,Homepage-Career track certificate-Career tracks-Sign up-Checkout
150418,Annual,Coupon-Log in-Coupon
151003,Quarterly,Homepage-Pricing-Homepage-Pricing-Checkout-Homepage-Log in
152002,Annual,Log in-Resources center-Other-Resources center-Checkout
152882,Monthly,Homepage-Pricing-Checkout-Pricing-Checkout-Coupon
153570,Annual,Sign up-Coupon
156771,Annual,Coupon
156880,Monthly,Checkout
157143,Annual,Coupon
158113,Monthly,Homepage-Log in-Homepage-Log in-Checkout
160910,Annual,Homepage-Log in-Coupon
161329,Annual,Homepage-Log in-Checkout
161523,Monthly,Homepage-Pricing-Sign up-Checkout
161548,Annual,Other-Courses-Sign up-Log in-Coupon
162545,Monthly,Courses-Log in-Courses-Log in-Checkout
171697,Annual,Coupon
172645,Annual,Coupon
182313,Annual,Resources center-Log in-Coupon
185224,Annual,Homepage-Log in-Homepage-Log in-Checkout
185236,Annual,Log in-Sign up-Courses-Sign up-Log in-Checkout
185890,Annual,Coupon-Log in-Coupon
188451,Annual,Checkout-Homepage-Log in-Checkout
191962,Annual,Other
195227,Annual,Log in-Homepage-Career tracks-Sign up-Career tracks-Coupon
202020,Annual,Homepage-Log in-Checkout-Coupon
203365,Annual,Coupon
204731,Annual,Other-Log in
209680,Annual,Log in-Checkout
212532,Annual,Coupon-Homepage-Log in-Other-Coupon
217381,Annual,Coupon
219706,Monthly,Checkout
220511,Annual,Log in-Coupon-Checkout
220744,Annual,Coupon
222389,Annual,Homepage-Log in-Checkout
223121,Monthly,Log in-Coupon
223597,Monthly,Homepage-Log in-Coupon
223721,Annual,Homepage-Pricing-Checkout-Log in-Checkout
223777,Monthly,Checkout
223883,Annual,Other-Homepage-Log in-Checkout
226950,Annual,Other-Homepage-Log in-Coupon
227784,Annual,Homepage-Pricing-Homepage-Pricing-Sign up-Log in-Checkout
227846,Annual,Coupon
228059,Annual,Coupon-Log in-Checkout
229602,Annual,Other-Coupon
230961,Annual,Checkout
233544,Annual,Log in-Checkout
235712,Annual,Log in-Homepage-Log in-Checkout
236893,Quarterly,Homepage-Pricing-Homepage-Pricing-Log in-Checkout
237247,Annual,Homepage-Log in-Checkout
244110,Annual,Other-Blog-Log in-Checkout
244693,Annual,Homepage-Pricing-Log in-Coupon
247070,Annual,Homepage-Course certificate-Career track certificate-Homepage-Log in-Checkout
248835,Annual,Homepage-Pricing-Career tracks-Log in-Homepage-Log in-Coupon
249736,Annual,Upcoming courses-Log in-Checkout
250430,Annual,Coupon
253512,Annual,Checkout-Homepage-Sign up-Log in-Checkout
255892,Annual,Homepage-Log in-Homepage-Log in-Checkout
256301,Monthly,Checkout
256312,Annual,Coupon
258989,Monthly,Sign up-Checkout
260579,Monthly,Checkout-Coupon
261077,Annual,Log in-Resources center-Other-Homepage-Log in
261624,Annual,Career tracks-Sign up-Log in-Coupon-Checkout
262246,Monthly,Log in-Homepage-Log in-Checkout
262728,Annual,Log in-Checkout
262999,Annual,Log in-Checkout
263101,Annual,Homepage-Pricing-Checkout-Homepage-Log in-Checkout
266371,Annual,Pricing-Checkout-Courses-Career tracks-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Coupon
267025,Annual,Homepage-Log in-Coupon
267334,Monthly,Homepage-Courses-Log in-Courses-Sign up-Checkout
267719,Monthly,Log in-Checkout
267955,Annual,Coupon
269209,Annual,Resources center-Log in-Resources center-Log in-Coupon
269345,Annual,Log in-Homepage-Log in-Checkout
270317,Annual,Homepage-Sign up-Checkout
271000,Annual,Homepage-Log in-Coupon
271778,Annual,Coupon
272443,Monthly,Checkout-Log in-Checkout
273256,Annual,Log in-Checkout
274222,Annual,Coupon-Homepage-Log in-Checkout
274586,Annual,Homepage-Sign up-Coupon
275657,Monthly,Other-Homepage-Pricing-Checkout-Coupon
277395,Monthly,Pricing-Courses-Upcoming courses-Courses-Homepage-Courses-Upcoming courses-Resources center-Upcoming courses-Success stories-Career track certificate-Resources center-About us-Other-Homepage-Log in-Checkout
278099,Annual,Career tracks-Sign up-Coupon-Checkout
278257,Annual,Log in-Coupon
279567,Annual,Homepage-Courses-Career tracks-Career track certificate-Course certificate-Other-Courses-Sign up-Log in-Coupon
279886,Annual,Homepage-Sign up-Homepage-Career tracks-Homepage-Coupon
280244,Monthly,Homepage-Career tracks-Homepage-Sign up-Log in-Checkout
281132,Annual,Other-Coupon
282606,Annual,Homepage-Career track certificate-Sign up-Coupon
282927,Annual,Coupon-Sign up-Log in-Courses-Sign up-Log in
282998,Annual,Log in-Checkout
283073,Monthly,Other-Homepage-Sign up-Log in-Homepage-Sign up-Log in
284423,Annual,Coupon-Homepage-Pricing-Coupon
284947,Annual,Other-Sign up-Log in-Resources center-Course certificate-Coupon
285057,Annual,Log in-Checkout
285400,Annual,Coupon-Checkout
286605,Annual,Coupon
286986,Annual,Checkout-Log in-Checkout
287136,Monthly,Checkout
287530,Monthly,Homepage-Resources center-Other-Homepage-Log in-Checkout
288416,Monthly,Career tracks-Sign up-Career tracks-Checkout
289110,Quarterly,Log in-Checkout
289169,Annual,Homepage-Pricing-Sign up-Coupon
289171,Annual,Other-Coupon-Homepage-Sign up-Coupon
289359,Monthly,Career tracks-Log in-Checkout
289370,Monthly,Log in-Homepage-Sign up-Log in-Checkout
289379,Quarterly,Homepage-Courses-Homepage-Courses-Sign up-Log in-Checkout
289748,Annual,Coupon-Checkout
289842,Annual,Coupon-Homepage-Sign up-Log in-Coupon
289919,Monthly,Log in-Checkout
289988,Monthly,Courses-Sign up-Log in-Homepage-Log in-Checkout
290258,Monthly,Other-Resources center-Success stories-Checkout-Coupon
290289,Monthly,Homepage-Log in-Other-Sign up-Log in-Checkout
290527,Annual,Other-Log in-Checkout
291012,Monthly,Homepage-Log in-Other-Log in-Checkout
291100,Monthly,Log in-Homepage-Log in
291598,Annual,Homepage-Pricing-Homepage-Log in-Coupon
291921,Annual,Pricing-Career tracks-Career track certificate-Sign up-Career track certificate-Log in-Checkout
292469,Annual,Log in-Homepage-Log in-Checkout
292620,Annual,Homepage-Career track certificate-Homepage-Career track certificate-Sign up-Checkout
292886,Annual,Homepage-Sign up-Courses-Sign up-Checkout
293325,Annual,Other-Course certificate-Career track certificate-Career tracks-Courses-Coupon-Checkout
293572,Annual,Log in-Coupon
293945,Annual,Career tracks-Resources center-Other-Coupon
294116,Monthly,Homepage-Pricing-Homepage-Pricing-Homepage-Courses-Career tracks-Courses-Career tracks-Pricing-Checkout
294736,Annual,Homepage-Log in-Homepage-Sign up-Log in-Checkout
295049,Annual,Homepage-Log in-Other-Log in-Checkout
295174,Monthly,Checkout-Homepage-Career tracks-Courses-Log in-Homepage-Course certificate-Homepage-Course certificate-Log in-Checkout
295176,Annual,Log in-Homepage-Log in-Checkout
295682,Annual,Checkout-Log in-Checkout
296305,Annual,Homepage-Resources center-Other-Resources center-Other-Resources center-Other
296352,Annual,Other-Log in-Coupon
296465,Monthly,Homepage-Log in-Homepage-Log in-Checkout
296546,Monthly,Log in-Checkout
296653,Annual,Log in-Courses-Log in-Coupon
296961,Annual,Checkout
296983,Annual,Homepage-Log in-Checkout
297835,Monthly,Other-Homepage-Pricing-Sign up-Log in-Checkout
297962,Monthly,Log in-Checkout
298464,Annual,Log in-Coupon
299103,Annual,Courses-Career tracks-Sign up-Log in-Sign up-Log in-Coupon
299675,Annual,Log in-Coupon
300083,Annual,Log in-Checkout
300455,Monthly,Log in-Other-Checkout
301568,Annual,Log in-Other-Coupon
302683,Annual,Homepage-Log in-Homepage-Sign up-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
302942,Annual,Log in-Resources center-Pricing-Coupon
303408,Monthly,Other-Courses-Sign up-Checkout
305004,Annual,Homepage-Courses-Career track certificate-Course certificate-Career track certificate-Career tracks-Courses-Homepage-Log in-Checkout
305785,Annual,Homepage-Sign up-Courses-Pricing-Coupon
305842,Monthly,Checkout-Other-Log in-Checkout
306397,Annual,Coupon-Homepage-Courses-Coupon
306406,Annual,Other-Coupon
307149,Annual,Homepage-Courses-Homepage-Sign up-Homepage-Courses-Other-Pricing-Courses-Homepage-Log in-Other-Homepage-Log in-Checkout
307235,Annual,Coupon-Log in-Other-Log in
307546,Annual,Coupon-Homepage-Log in-Checkout
307602,Monthly,Homepage-Log in-Other-Log in-Checkout
307886,Monthly,Homepage-Pricing-Log in-Checkout
307902,Annual,Log in-Sign up-Log in-Checkout
308007,Annual,Coupon
308457,Annual,Other-Log in-Sign up-Log in-Checkout
310357,Annual,Resources center-Other-Resources center-Other-Sign up-Coupon
310671,Annual,Homepage-Sign up-Checkout
310716,Annual,Other-Coupon
311868,Annual,Homepage-Pricing-Log in-Homepage-Pricing-Coupon
311905,Annual,Log in-Homepage-Log in-Checkout
312454,Monthly,Homepage-Log in-Homepage-Log in-Checkout
312849,Annual,Checkout-Coupon
313048,Monthly,Log in-Homepage-Log in-Checkout
314076,Annual,Log in-Checkout
314632,Annual,Log in-Checkout
314728,Monthly,Checkout
315107,Annual,Homepage-Pricing-Log in-Coupon
315306,Annual,Other-Coupon-Homepage-Courses-Coupon
316287,Annual,Homepage-Pricing-Checkout-Homepage-Pricing-Checkout-Pricing-Checkout-Coupon
316823,Annual,Coupon-Checkout-Coupon
316833,Annual,Other-Log in-Coupon
316976,Annual,Resources center-Courses-Homepage-Career tracks-Coupon
318200,Annual,Homepage-Log in-Checkout
319252,Monthly,Log in-Checkout
319493,Annual,Log in-Coupon
321978,Annual,Coupon
322021,Monthly,Checkout-Homepage-Log in-Checkout
322577,Annual,Homepage-Sign up-Log in-Checkout
323474,Annual,Log in-Coupon
324352,Annual,Other-Log in-Coupon
324442,Monthly,Log in-Checkout
327915,Annual,Other-Coupon-Homepage-Pricing-Log in
328922,Annual,Other
329390,Monthly,Homepage-Sign up-Log in-Homepage-Log in-Checkout
329682,Annual,Homepage-Career tracks-Homepage-Sign up-Homepage-Pricing-Coupon
330072,Monthly,Homepage-Pricing-Courses-Log in-Checkout
330572,Monthly,Homepage-Log in-Checkout
330590,Annual,Log in-Other-Log in-Checkout
331693,Monthly,Checkout
333415,Monthly,Log in-Checkout
334108,Monthly,Checkout-Homepage-Log in-Checkout
335237,Monthly,Log in-Homepage-Log in-Checkout
335407,Monthly,Log in-Checkout
335698,Annual,Checkout
336819,Annual,Sign up-Log in-Checkout
337006,Annual,Log in-Coupon
337895,Monthly,Log in-Checkout
338124,Monthly,Homepage-Log in-Checkout
338181,Annual,Courses-Pricing-Resources center-Courses-Sign up-Log in-Checkout
338212,Annual,Checkout
338632,Monthly,Homepage-Sign up-Log in-Checkout
338845,Annual,Other-Coupon
339582,Annual,Homepage-Log in-Checkout
339958,Monthly,Homepage-Pricing-Sign up-Checkout
341430,Annual,Coupon
342288,Monthly,Coupon
343619,Annual,Homepage-Pricing-Log in-Coupon
344014,Annual,Other-Resources center-Other-Log in-Other-Log in-Checkout
344040,Annual,Coupon
344695,Annual,Log in-Homepage-Log in-Checkout
345171,Monthly,Checkout-Homepage-Pricing-Checkout-Pricing-Sign up-Log in-Other-Log in-Homepage-Pricing-Checkout
345439,Annual,Other-Coupon
345526,Monthly,Checkout-Pricing-Sign up-Checkout
345571,Annual,Coupon-Checkout
346517,Monthly,Courses-Career track certificate-Courses-Pricing-Checkout-Homepage-Sign up-Checkout
346769,Annual,Log in-Homepage-Log in-Checkout
347303,Monthly,Log in-Checkout
347748,Annual,Homepage-Log in-Sign up-Log in-Checkout
349826,Annual,Homepage-Career tracks-Courses-Career tracks-Other-Log in-Checkout
350751,Monthly,Log in-Checkout
351669,Quarterly,Homepage-Log in-Checkout
351796,Annual,Log in-Homepage-Log in-Other
352062,Annual,Other-Checkout-Coupon
352098,Annual,Log in-Checkout
352376,Monthly,Coupon-Checkout
353236,Annual,Log in-Checkout
353669,Monthly,Log in-Checkout
353878,Monthly,Log in-Homepage-Courses-Log in-Checkout
354201,Annual,Homepage-Log in-Checkout
354683,Annual,Homepage-Log in-Coupon
355056,Annual,Resources center-Other-Homepage-Pricing-Coupon
356489,Annual,Checkout-Log in-Checkout
357645,Monthly,Homepage-Log in-Checkout
358019,Annual,Log in-Checkout
360808,Monthly,Pricing-Sign up-Homepage-Pricing-Checkout
361114,Annual,Homepage-Log in-Coupon
361752,Monthly,Homepage-Career track certificate-Pricing-Log in-Pricing-Courses-Sign up-Coupon
362355,Monthly,Log in-Checkout
364433,Annual,Checkout
364769,Monthly,Checkout-Homepage-Log in-Checkout
365370,Annual,Other-Coupon
366045,Annual,Log in-Checkout
366537,Annual,Checkout-Homepage-Sign up-Log in-Checkout
367401,Annual,Coupon-Homepage-Log in-Checkout
367711,Annual,Pricing-Checkout-Homepage-Log in-Coupon
367955,Annual,Homepage-Log in-Checkout
369712,Monthly,Log in-Checkout
369845,Monthly,Homepage-Log in-Homepage-Log in-Checkout
370071,Quarterly,Checkout
371060,Monthly,Homepage-Log in-Homepage-Log in-Coupon
371087,Monthly,Coupon-Log in-Checkout
371779,Annual,Homepage-Pricing-Resources center-Log in-Coupon
376948,Monthly,Log in-Checkout
378467,Annual,Other-Coupon
379140,Annual,Other-Homepage-Pricing-Career track certificate-Sign up-Career track certificate-Coupon
380790,Annual,Checkout-Homepage-Log in-Checkout
381670,Annual,Log in-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Coupon
384062,Annual,Log in-Coupon
387096,Annual,Log in-Homepage-Log in-Coupon
387813,Annual,Log in-Homepage-Log in-Coupon
389689,Annual,Other-Coupon
391783,Annual,Log in-Homepage-Pricing-Career track certificate-Sign up-Checkout
392228,Annual,Homepage-Course certificate-Log in-Checkout
392235,Annual,Checkout-Coupon
392285,Monthly,Homepage-Pricing-Checkout
393904,Annual,Log in-Coupon
394304,Annual,Log in-Checkout
394696,Monthly,Sign up-Homepage-Log in-Checkout
395521,Annual,Checkout-Log in-Checkout
396099,Annual,Career tracks-Log in-Homepage-Log in-Checkout
396791,Annual,Other-Log in-Checkout
397234,Monthly,Log in
397395,Annual,Coupon-Homepage-Career tracks-Pricing-Checkout-Pricing-Checkout
398805,Monthly,Log in-Checkout
399029,Monthly,Homepage-Pricing-Log in-Pricing-Log in
401176,Monthly,Pricing-Checkout
402831,Annual,Log in-Homepage-Sign up-Checkout
403662,Monthly,Homepage-Log in-Checkout
404128,Monthly,Checkout
406828,Monthly,Checkout
408209,Monthly,Log in-Checkout
409365,Monthly,Homepage-Log in-Checkout
409856,Monthly,Checkout
409908,Annual,Checkout-Instructors-About us-Other
409923,Annual,Pricing-Courses-Homepage-Log in-Sign up-Log in-Other-Log in-Checkout
411342,Monthly,Log in-Homepage-Log in-Checkout
411785,Annual,Coupon-Log in-Checkout
412496,Annual,Log in-Other-Log in-Coupon
412594,Monthly,Homepage-Sign up-Log in-Checkout
413004,Monthly,Log in-Checkout
413388,Annual,Log in-Checkout
413389,Monthly,Other
413937,Monthly,Log in-Coupon
415429,Monthly,Checkout-Other-Sign up-Log in-Checkout
416030,Monthly,Log in-Checkout
416191,Annual,Other-Log in-Pricing-Checkout-Coupon
416252,Annual,Log in-Other-Homepage-Log in-Checkout
417291,Annual,Checkout-Coupon-Checkout
419662,Annual,Other-Checkout
422145,Annual,Log in-Homepage-Course certificate-Coupon
422502,Annual,Courses-Log in-Courses-Log in-Coupon
424430,Monthly,Log in-Checkout
424647,Annual,Coupon
425604,Annual,Sign up-Log in-Coupon
426125,Annual,Checkout-Log in-Checkout
426242,Annual,Coupon-Log in-Checkout
426843,Annual,Homepage-Log in-Checkout
427084,Monthly,Log in-Coupon
430496,Monthly,Checkout
431537,Monthly,Log in-Other-Log in-Checkout
431959,Monthly,Log in-Checkout
432001,Annual,Coupon-Log in-Checkout
432224,Annual,Other-Coupon
433243,Annual,Checkout
434169,Annual,Checkout-Log in-Checkout
434675,Annual,Homepage-Log in-Coupon
434958,Annual,Coupon
435391,Monthly,Checkout
436554,Annual,Homepage-Pricing-Homepage-Courses-Log in-Other-Log in-Checkout
437668,Annual,Coupon-Homepage-Courses-Homepage-Log in-Coupon
437976,Monthly,Log in-Checkout
438159,Monthly,Log in-Checkout
439941,Annual,Log in-Coupon
441122,Annual,Homepage-Log in-Checkout
444315,Annual,Other-Coupon
444322,Quarterly,Homepage-Log in-Homepage-Log in-Checkout
445812,Annual,Log in-Homepage-Log in-Checkout
446564,Annual,Checkout-Homepage-Course certificate-Checkout
448260,Annual,Homepage-Log in-Homepage-Sign up-Checkout
448561,Annual,Other
448776,Annual,Homepage-Log in-Checkout
451138,Monthly,Homepage-Log in-Homepage-Log in-Other-Sign up-Log in-Checkout
451530,Annual,Other-Log in-Coupon
451998,Annual,Homepage-Log in-Checkout
452301,Annual,Homepage-Pricing-Checkout-Homepage-Courses-Checkout
452465,Monthly,Checkout-Log in-Checkout
452803,Annual,Coupon
453232,Monthly,Homepage-Sign up-Log in-Homepage-Log in-Checkout
453489,Annual,Coupon-Checkout-Coupon
453696,Monthly,Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Sign up-Log in-Checkout
454131,Annual,Homepage-Log in-Homepage-Log in-Checkout
454272,Annual,Homepage-Log in-Other-Log in-Other-Log in-Coupon
454460,Annual,Coupon
454551,Annual,Log in-Checkout-Coupon
454643,Monthly,Checkout-Homepage-Log in-Checkout
454666,Annual,Coupon
454953,Monthly,Other-Sign up-Log in-Checkout
455041,Quarterly,Sign up-Log in-Checkout
455122,Annual,Homepage-Log in-Checkout
455204,Monthly,Courses-Log in-Checkout
455234,Annual,Sign up-Homepage-Courses-Coupon
455343,Annual,Checkout-Homepage-Career track certificate-Career tracks-Coupon
455568,Annual,Log in-Checkout
456100,Annual,Homepage-Upcoming courses-Courses-Career track certificate-Coupon-Homepage-Log in-Other
456261,Monthly,Checkout
456271,Annual,Other
456277,Annual,Homepage-Log in-Checkout
456808,Annual,Homepage-Log in-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Coupon
456907,Monthly,Log in-Checkout
456953,Annual,Sign up-Log in-Checkout
456993,Annual,Homepage-Pricing-Checkout-Log in-Coupon
457261,Monthly,Checkout
457417,Monthly,Log in-Checkout
457609,Annual,Career tracks-Sign up-Log in-Homepage-Log in-Checkout
458068,Quarterly,Checkout-Log in-Checkout
458392,Annual,Resources center-Log in-Checkout
458421,Quarterly,Homepage-Sign up-Checkout
458604,Monthly,Homepage-Sign up-Log in-Checkout
458926,Annual,Log in-Coupon
459141,Monthly,Courses-Career tracks-Checkout
459147,Annual,Log in-Checkout
459170,Annual,Checkout
459364,Annual,Homepage-Pricing-Homepage-Courses-Log in-Checkout
459409,Annual,Other-Career tracks-Sign up-Coupon
459494,Monthly,Homepage-Log in-Homepage-Log in-Checkout
459526,Annual,Homepage-Pricing-Log in-Coupon
459560,Monthly,Homepage-Log in-Checkout
459756,Annual,Checkout-Log in-Checkout
459946,Annual,Courses-Upcoming courses-Courses-Pricing-Courses-Log in-Checkout
460104,Monthly,Log in-Checkout
460122,Monthly,Homepage-Log in-Homepage-Log in-Coupon
460469,Annual,Courses-Coupon-Homepage-Courses
460480,Annual,Log in-Homepage-Checkout
460665,Annual,Coupon-Instructors-Log in-Checkout
460879,Quarterly,Checkout
460950,Monthly,Log in-Checkout
461029,Annual,Log in-Checkout
461046,Annual,Coupon-Homepage-Log in-Coupon
461150,Annual,Career tracks-Sign up-Log in-Homepage-Course certificate-Homepage-Courses-Sign up-Log in-Coupon
461171,Quarterly,Homepage-Log in-Checkout
461311,Annual,Sign up-Log in-Courses-Sign up-Courses-Log in-Coupon
461458,Annual,Pricing-Sign up-Pricing-Sign up-Pricing
461513,Annual,Log in-Other-Log in-Checkout
461729,Annual,Pricing-Other-Pricing-Checkout-Log in-Checkout
461745,Monthly,Other-Log in
